,potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,lat,lng,House_number,Street,Ward,District,City,progress
109,,,,,,,,,10.75506,106.69088,360C,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
110,,,,,,,,,10.75307,106.69534,1,Đường Nguyễn Khoái,Phường 1,Quận 4,Hồ Chí Minh,True
111,,,,,,,,,10.76471,106.70637,35,Đường Hoàng Diệu,Phường 13,Quận 4,Hồ Chí Minh,True
112,,,,,,,,,10.75351,106.7059,157/3,Đường Tôn Thất Thuyết,Phường 15,Quận 4,Hồ Chí Minh,True
113,,,,,,,,,10.83949,106.72948,,Đường Số 49,Phường Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh,True
114,,,,,,,,,10.83313,106.66655,416,Đường Quang Trung,Phường 10,Quận Gò Vấp,Hồ Chí Minh,True
115,,,,,,,,,,,,,,,,True
116,,,,,,,,,10.7577,106.70066,14,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
117,,,,,,,,,10.76152,106.70488,198/79,Hẻm 198 Đường Đoàn Văn Bơ,Phường 10,Quận 4,Hồ Chí Minh,True
118,,,,,,,,,10.75339,106.71021,109,Đường Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
119,,,,,,,,,10.75571,106.70537,312/11,Hẻm 312 Đường Tôn Đản,Phường 4,Quận 4,Hồ Chí Minh,True
120,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
121,,,,,,,,,10.78536,106.65105,,Đường Lạc Long Quân,Phường 8,Quận Tân Bình,Hồ Chí Minh,True
122,,,,,,,,,10.7629,106.70346,157,Đường Hoàng Diệu,Phường 9,Quận 4,Hồ Chí Minh,True
123,,,,,,,,,10.76205,106.7024,237/4,Hẻm 237 Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
124,,,,,,,,,10.75702,106.70196,29,Đường Tân Vĩnh,Phường 4,Quận 4,Hồ Chí Minh,True
125,,,,,,,,,10.76121,106.70285,122,Đường Vĩnh Khánh,Phường 8,Quận 4,Hồ Chí Minh,True
126,,,,,,,,,10.75696,106.71017,B137,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
127,,,,,,,,,10.7529,106.69409,S91,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
128,,,,,,,,,10.76033,106.70855,456,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
129,,,,,,,,,10.75506,106.70575,,Đường Tôn Đản,Phường 4,Quận 4,Hồ Chí Minh,True
130,,,,,,,,,,,,,,,,True
131,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
132,,,,,,,,,10.74242,106.71383,121,Đường Số 45,Phường Tân Quy,Quận 7,Hồ Chí Minh,True
133,,,,,,,,,10.75497,106.7,K1,Đường Số 12A,Phường 3,Quận 4,Hồ Chí Minh,True
134,,,,,,,,,10.7535,106.71541,39A,Đường Tôn Thất Thuyết,Phường 18,Quận 4,Hồ Chí Minh,True
135,,,,,,,,,10.75575,106.69352,91A2,Hẻm 91 Nguyễn Khoái,Phường 1,Quận 4,Hồ Chí Minh,True
136,,,,,,,,,10.75676,106.70074,120,Đường Khánh Hội,Phường 3,Quận 4,Hồ Chí Minh,True
137,,,,,,,,,10.92396,108.08723,141,Đường Nguyễn Văn Linh,Phường Phú Tài,Phan Thiết,Bình Thuận,True
138,,,,,,,,,10.75885,106.69958,20,Đường Số 41,Phường 6,Quận 4,Hồ Chí Minh,True
139,,,,,,,,,10.75327,106.71417,9/24,Đường Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
140,,,,,,,,,10.76,106.70014,14,Đường Số 12A,Phường 6,Quận 4,Hồ Chí Minh,True
141,,,,,,,,,10.76058,106.70261,129F/123B/9,Hẻm 129F/123/9 Bến Vân Đồn,Phường 8,Quận 4,Hồ Chí Minh,True
142,,,,,,,,,,,,,,,,True
143,,,,,,,,,10.75434,106.6954,40/10/3,Hẻm 40 Đường Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,True
144,,,,,,,,,10.75553,106.69088,360A,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
145,,,,,,,,,10.77339,106.68195,64,Đường Số 2,Phường 4,Quận 3,Hồ Chí Minh,True
